Physics,Chemistry,Maths,Total,Category,Percentile,Rank
94,100,100,294,ST,100.0,1
97,97,100,294,OBC,99.53,22
96,100,98,294,OBC,99.53,22
98,91,100,289,ST,99.41,34
95,98,100,293,EWS,99.3,49
97,97,98,292,OBC,99.3,49
98,96,98,292,OBC,99.3,49
95,99,99,293,General,99.18,67
94,93,100,287,ST,99.18,67
99,93,99,291,General,98.94,112
98,96,90,284,ST,98.82,139
88,100,100,288,OBC,98.82,139
98,94,98,290,General,98.82,139
95,96,96,287,OBC,98.7,168
100,91,96,287,OBC,98.7,168
97,90,100,287,OBC,98.7,168
100,100,89,289,General,98.7,168
91,96,98,285,SC,98.7,168
99,88,99,286,OBC,98.58,201
95,98,94,287,EWS,98.58,201
98,100,90,288,General,98.58,201
99,93,93,285,OBC,98.46,237
99,91,95,285,OBC,98.46,237
96,94,97,287,General,98.46,237
90,96,95,281,ST,98.46,237
96,99,88,283,SC,98.46,237
97,91,99,287,General,98.46,237
95,100,92,287,General,98.46,237
97,97,93,287,General,98.46,237
84,100,98,282,SC,98.34,275
98,89,99,286,General,98.34,275
99,100,87,286,General,98.34,275
94,91,99,284,OBC,98.34,275
91,96,99,286,General,98.34,275
92,94,97,283,OBC,98.22,316
99,98,87,284,EWS,98.22,316
95,86,98,279,ST,98.22,316
94,96,95,285,General,98.22,316
93,98,93,284,EWS,98.22,316
94,90,95,279,ST,98.22,316
87,100,98,285,General,98.22,316
94,99,92,285,General,98.22,316
95,88,98,281,SC,98.22,316
83,99,100,282,OBC,98.1,361
97,97,90,284,General,98.1,361
89,97,96,282,OBC,98.1,361
90,100,92,282,OBC,98.1,361
91,94,99,284,General,98.1,361
92,97,94,283,EWS,98.1,361
91,100,89,280,SC,98.1,361
100,86,96,282,OBC,98.1,361
99,88,91,278,ST,98.1,361
88,94,96,278,ST,98.1,361
100,92,91,283,EWS,98.1,361
91,96,97,284,General,98.1,361
93,88,99,280,SC,98.1,361
95,87,99,281,OBC,97.98,408
99,96,87,282,EWS,97.98,408
97,97,87,281,OBC,97.98,408
100,93,86,279,SC,97.98,408
83,99,95,277,ST,97.98,408
96,95,91,282,EWS,97.98,408
96,99,87,282,EWS,97.98,408
82,100,99,281,OBC,97.98,408
82,99,96,277,ST,97.98,408
97,88,96,281,OBC,97.98,408
90,97,92,279,SC,97.98,408
98,86,92,276,ST,97.86,457
89,94,99,282,General,97.86,457
92,91,97,280,OBC,97.86,457
96,93,93,282,General,97.86,457
97,95,90,282,General,97.86,457
95,92,93,280,OBC,97.86,457
98,78,100,276,ST,97.86,457
92,87,99,278,SC,97.86,457
96,91,91,278,SC,97.86,457
96,88,96,280,OBC,97.86,457
96,92,94,282,General,97.86,457
100,96,83,279,OBC,97.74,510
98,84,95,277,SC,97.74,510
88,92,99,279,OBC,97.74,510
91,94,96,281,General,97.74,510
88,99,90,277,SC,97.74,510
97,87,95,279,OBC,97.74,510
87,96,97,280,General,97.61,571
99,81,94,274,ST,97.61,571
100,94,86,280,General,97.61,571
84,98,98,280,General,97.61,571
100,92,88,280,General,97.61,571
83,94,99,276,SC,97.61,571
99,80,97,276,SC,97.61,571
97,89,90,276,SC,97.61,571
93,86,97,276,SC,97.61,571
93,90,97,280,General,97.61,571
87,95,98,280,General,97.61,571
89,94,95,278,OBC,97.61,571
88,91,100,279,General,97.49,630
95,98,84,277,OBC,97.49,630
92,88,99,279,General,97.49,630
77,100,100,277,OBC,97.49,630
89,100,90,279,General,97.49,630
93,90,94,277,OBC,97.49,630
98,83,96,277,OBC,97.49,630
93,94,92,279,General,97.49,630
88,93,92,273,ST,97.49,630
96,84,98,278,General,97.37,691
75,100,99,274,SC,97.37,691
92,87,95,274,SC,97.37,691
91,100,87,278,General,97.37,691
98,86,92,276,OBC,97.37,691
86,93,99,278,General,97.37,691
89,93,92,274,SC,97.37,691
89,96,87,272,ST,97.37,691
99,93,86,278,General,97.37,691
88,100,90,278,General,97.37,691
93,97,88,278,General,97.37,691
87,94,95,276,OBC,97.37,691
97,95,85,277,EWS,97.37,691
94,88,96,278,General,97.37,691
88,100,84,272,ST,97.37,691
89,89,97,275,OBC,97.25,756
100,84,93,277,General,97.25,756
80,98,99,277,General,97.25,756
97,84,96,277,General,97.25,756
92,92,89,273,SC,97.25,756
76,95,100,271,ST,97.25,756
87,98,88,273,SC,97.25,756
90,93,92,275,OBC,97.25,756
82,98,95,275,OBC,97.25,756
97,84,92,273,SC,97.25,756
98,93,84,275,OBC,97.25,756
98,80,95,273,SC,97.25,756
100,90,87,277,General,97.25,756
99,83,94,276,General,97.12,829
97,81,96,274,OBC,97.12,829
91,95,89,275,EWS,97.12,829
88,99,89,276,General,97.12,829
89,98,87,274,OBC,97.12,829
81,93,98,272,SC,97.12,829
81,97,98,276,General,97.12,829
97,77,100,274,OBC,97.12,829
99,82,89,270,ST,97.12,829
85,98,91,274,OBC,97.12,829
97,82,95,274,OBC,97.12,829
99,95,82,276,General,97.12,829
99,92,79,270,ST,97.12,829
90,94,92,276,General,97.12,829
74,96,100,270,ST,97.12,829
99,100,77,276,General,97.12,829
93,88,94,275,General,97.0,900
86,94,91,271,SC,97.0,900
93,88,94,275,General,97.0,900
95,94,86,275,General,97.0,900
81,88,100,269,ST,97.0,900
95,97,83,275,General,97.0,900
92,94,85,271,SC,97.0,900
98,76,100,274,EWS,97.0,900
94,95,84,273,OBC,97.0,900
96,89,86,271,SC,97.0,900
97,82,96,275,General,97.0,900
93,89,93,275,General,97.0,900
99,91,83,273,OBC,97.0,900
89,99,87,275,General,97.0,900
96,87,89,272,OBC,96.88,973
94,90,90,274,General,96.88,973
92,92,90,274,General,96.88,973
91,95,88,274,General,96.88,973
83,100,89,272,OBC,96.88,973
99,94,81,274,General,96.88,973
98,79,93,270,SC,96.88,973
80,91,99,270,SC,96.88,973
85,97,86,268,ST,96.88,973
90,99,85,274,General,96.88,973
94,92,86,272,OBC,96.88,973
84,98,92,274,General,96.88,973
90,94,86,270,SC,96.88,973
80,99,95,274,General,96.88,973
74,100,100,274,General,96.88,973
97,94,80,271,OBC,96.75,1056
95,100,74,269,SC,96.75,1056
89,88,94,271,OBC,96.75,1056
84,87,100,271,OBC,96.75,1056
99,77,96,272,EWS,96.75,1056
87,89,97,273,General,96.75,1056
86,97,90,273,General,96.75,1056
94,81,98,273,General,96.75,1056
81,98,90,269,SC,96.75,1056
98,91,84,273,General,96.75,1056
92,89,92,273,General,96.75,1056
76,95,100,271,OBC,96.75,1056
85,100,86,271,OBC,96.75,1056
99,91,83,273,General,96.75,1056
94,82,95,271,OBC,96.75,1056
96,93,78,267,ST,96.75,1056
100,97,72,269,SC,96.75,1056
98,98,74,270,OBC,96.63,1135
92,84,95,271,EWS,96.63,1135
97,97,76,270,OBC,96.63,1135
97,96,79,272,General,96.63,1135
100,73,99,272,General,96.63,1135
91,91,88,270,OBC,96.63,1135
93,91,86,270,OBC,96.63,1135
77,99,95,271,EWS,96.63,1135
75,97,100,272,General,96.63,1135
96,85,91,272,General,96.63,1135
95,94,79,268,SC,96.63,1135
93,96,83,272,General,96.63,1135
84,98,88,270,OBC,96.63,1135
92,76,98,266,ST,96.63,1135
98,91,83,272,General,96.63,1135
94,83,95,272,General,96.63,1135
91,84,91,266,ST,96.63,1135
94,97,81,272,General,96.63,1135
99,97,74,270,OBC,96.63,1135
85,89,97,271,EWS,96.63,1135
92,94,82,268,SC,96.63,1135
98,82,92,272,General,96.63,1135
100,99,73,272,General,96.63,1135
94,94,84,272,General,96.63,1135
92,80,97,269,OBC,96.5,1225
74,95,98,267,SC,96.5,1225
88,90,93,271,General,96.5,1225
93,90,84,267,SC,96.5,1225
88,89,88,265,ST,96.5,1225
94,97,80,271,General,96.5,1225
94,99,77,270,EWS,96.5,1225
81,90,100,271,General,96.5,1225
88,87,95,270,EWS,96.5,1225
91,83,97,271,General,96.5,1225
89,85,91,265,ST,96.5,1225
94,82,95,271,General,96.5,1225
88,93,90,271,General,96.5,1225
97,74,99,270,EWS,96.5,1225
77,96,96,269,OBC,96.5,1225
96,97,78,271,General,96.5,1225
97,99,73,269,OBC,96.5,1225
97,95,77,269,OBC,96.5,1225
88,88,91,267,SC,96.5,1225
94,100,77,271,General,96.5,1225
88,84,97,269,OBC,96.5,1225
99,95,77,271,General,96.5,1225
100,71,98,269,OBC,96.5,1225
81,98,92,271,General,96.5,1225
97,74,100,271,General,96.5,1225
91,98,81,270,General,96.38,1310
93,89,86,268,OBC,96.38,1310
87,95,84,266,SC,96.38,1310
95,94,77,266,SC,96.38,1310
97,88,85,270,General,96.38,1310
90,84,94,268,OBC,96.38,1310
94,79,97,270,General,96.38,1310
83,99,82,264,ST,96.38,1310
90,86,94,270,General,96.38,1310
92,86,92,270,General,96.38,1310
97,84,85,266,SC,96.38,1310
95,86,87,268,OBC,96.38,1310
92,88,88,268,OBC,96.38,1310
96,86,88,270,General,96.38,1310
92,90,86,268,OBC,96.38,1310
91,93,86,270,General,96.38,1310
82,97,85,264,ST,96.38,1310
91,83,96,270,General,96.38,1310
90,88,88,266,SC,96.38,1310
91,88,91,270,General,96.38,1310
80,97,93,270,General,96.38,1310
82,94,94,270,General,96.38,1310
95,84,91,270,General,96.38,1310
100,68,96,264,ST,96.38,1310
82,88,99,269,EWS,96.38,1310
82,88,98,268,OBC,96.38,1310
85,89,95,269,EWS,96.38,1310
69,100,100,269,General,96.25,1406
94,83,92,269,General,96.25,1406
93,76,96,265,SC,96.25,1406
98,80,91,269,General,96.25,1406
95,93,77,265,SC,96.25,1406
96,98,73,267,OBC,96.25,1406
87,93,89,269,General,96.25,1406
97,77,95,269,General,96.25,1406
83,92,94,269,General,96.25,1406
86,82,99,267,OBC,96.25,1406
84,97,88,269,General,96.25,1406
97,74,98,269,General,96.25,1406
92,88,89,269,General,96.25,1406
